OBJECTID,CITY_NM,POP1990,POP2000,POP2010
1,Albany,1962,1921,2034
2,Beeville,13547,13129,12863
3,Del Rio,30705,33867,35591
4,Electra,3113,3168,2791
5,Graham,8986,8716,8903
6,Hillsboro,7072,8232,8456
7,Kaufman,5238,6490,6703
8,Kermit,6875,5714,5708
9,Lefors,656,559,497
10,Mertzon,778,839,781
11,New Braunfels,27334,36494,57740
12,Pampa,19959,17887,17994
13,Port Lavaca,10886,12035,12248
14,San Angelo,84474,88439,93200
15,Shamrock,2286,2029,1910
16,Strawn,709,739,653
17,Vernon,12001,11660,11002
